"第一階層","第二階層","第三階層","第四階層"
"Chemistry","Chemical & Solid State Properties","Thermo Scientific iCAP Q ICP-MS",""
"","Compound Purchase","Chemicals","Fine Chemical Production
Pharmaceutical Research Chemicals
Specialty Chemical Production
USP-NF Grade Chemicals"
"","","Compounds by Functional Group","Alcohol Derivatives
Aldehyde Derivatives
Alkane Derivatives
Alkene Derivatives
Alkyne Derivatives
Amide Derivatives
Amine Derivatives
Amino Acid Derivatives
Carboxylic Acid Derivatives
Ester Derivatives
Ether Derivatives
Haloalkane Derivatives
Indole Derivatives
Ketone Derivatives
Peptide Derivatives
Piperazine Derivatives
Piperidine Derivatives
Selenium Derivatives"
"","","Libraries","Fragment Libraries
HTS Libraries
Target-Focused Compound Libraries
"
"","","Reagents & Standards","Certified Standards
Custom Buffer Preparation
USP Testing Analytical Reagents
"
"","","Other","Bioactive Research Tools
Building Blocks
Bulk Raw Materials
Compound Purchase
Compound Purchase Consulting
Excipients
File Equity On-Demand (Screening Compounds & Monomers)"
"","Chemistry, Manufacturing and Controls","Chemical & Solid State Properties","Chemical Stability
Forced Degradation
Photostability
Polymorph Screening
Salt Form Selection
Solubility Assay
Thermal Analysis
"
"","","Compound Synthesis","API Synthesis
GMP Synthesis
Impurity Profiling
Intermediate Synthesis
Large Scale Purification
Process Development
Radiochemical Synthesis
Release Testing
"
"","","Drug Formulation","Accelerated Stability
Fill and Finish Processing
Liquid Blending
Liquid Filling
Powder Blending
Powder Filling
Tablet Manufacturing"
"","","Drug Product","Drug Formulation
Drug Product Stability
Excipient Compatibility
Formulation Development
Spray Drying"
"","","Lab Equipment","Lab Equipment Installation & Calibration
Lab Equipment Maintenance & Repair
Lab Equipment Maintenance Agreement
Lab Equipment Mechanical Design
Lab Equipment Rental
Rent-to-Purchase Lab Equipment
Manufacturing Services
Bulk Manufacturing"
"","","Medical Devices","Medical Device Contract Manufacturing
Medical Device Product Certification"
"","","Other",""
"","Drug Formulation","Drug Formulation Consulting
Spray Drying",""
"","Compound Integrity","Compound Integrity
Elemental Analysis
GC MS Analysis
High Resolution MS
LCMS Analysis
Melting Point
Method Development and Validation
NMR Structure
Optical Rotation
Trace Elemental Analysis
UV and IR Profiling",""
"","Compound Synthesis & Medicinal Chemistry","Compound Management
Compound Synthesis
Compound Synthesis Services (IP-sensitive)
Custom Building Blocks
Custom Libraries
Custom Synthesis
Hit to Lead (H2L)
HTS Libraries
Lead Optimization
Stable Isotope Synthesis",""
"","Computational Chemistry","Activity Prediction
Compound Docking
Computational Chemistry
Homology Modeling
Library Design & Evaluation
Pharmacophore Modeling
QSAR Analysis
Retrosynthetic Analysis
Virtual Screening",""
